#Saved Data from the class wavemeter_logger_logic on 22.11.2022 at 14h20m08s.
#
#Parameters:
#===========
#
#Start Time (s): 22.11.2022 14h:19min:45s
#Stop Time (s): 22.11.2022 14h:20min:08s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
1.294898700714e+01	1.150000000000e+03	7.370756132808e+02
1.296899843216e+01	9.500000000000e+02	7.370756128551e+02
1.298907732964e+01	8.500000000000e+02	7.370756075366e+02
1.300850915909e+01	1.100000000000e+03	7.370756021829e+02
1.302906680107e+01	9.500000000000e+02	7.370755953184e+02
1.304913902283e+01	1.250000000000e+03	7.370755930703e+02
1.306909036636e+01	9.000000000000e+02	7.370755923529e+02
1.308907341957e+01	9.000000000000e+02	7.370755861673e+02
1.310860824585e+01	1.100000000000e+03	7.370755801180e+02
1.312915897369e+01	8.000000000000e+02	7.370755737517e+02
1.314945435524e+01	8.500000000000e+02	7.370755728119e+02
1.316842365265e+01	1.150000000000e+03	7.370755698563e+02
1.318839168549e+01	1.400000000000e+03	7.370755632912e+02
1.320833921432e+01	1.200000000000e+03	7.370755567022e+02
1.322910594940e+01	1.750000000000e+03	7.370755499528e+02
1.325121974945e+01	1.350000000000e+03	7.370755429768e+02
1.326911449432e+01	1.250000000000e+03	7.370755423587e+02
1.328918647766e+01	1.050000000000e+03	7.370755401034e+02
1.330943155289e+01	1.400000000000e+03	7.370755337910e+02
1.332839417458e+01	1.350000000000e+03	7.370755270322e+02
1.334893536568e+01	1.250000000000e+03	7.370755212370e+02
1.336911582947e+01	1.050000000000e+03	7.370755212370e+02
1.338891100883e+01	7.500000000000e+02	7.370755164169e+02
1.340850710869e+01	5.000000000000e+02	7.370755100352e+02
1.342905330658e+01	1.300000000000e+03	7.370755030018e+02
1.344983482361e+01	1.500000000000e+03	7.370755010006e+02
1.346902608871e+01	1.000000000000e+03	7.370755002690e+02
1.348911452293e+01	1.000000000000e+03	7.370754959963e+02
1.350923323631e+01	1.150000000000e+03	7.370754917172e+02
1.352914285660e+01	7.500000000000e+02	7.370754830546e+02
1.354910874367e+01	1.400000000000e+03	7.370754775834e+02
1.356925773621e+01	8.500000000000e+02	7.370754728973e+02
1.358921051025e+01	1.000000000000e+03	7.370754719672e+02
1.360862493515e+01	5.000000000000e+02	7.370754703226e+02
1.362911653519e+01	5.500000000000e+02	7.370754620396e+02
