#Saved Data from the class wavemeter_logger_logic on 02.12.2022 at 16h59m28s.
#
#Parameters:
#===========
#
#Start Time (s): 02.12.2022 16h:58min:46s
#Stop Time (s): 02.12.2022 16h:59min:28s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
3.129790568352e+01	2.000000000000e+03	7.370377239424e+02
3.131786632538e+01	2.250000000000e+03	7.370377206673e+02
3.133779883385e+01	2.950000000000e+03	7.370377179146e+02
3.135774540901e+01	2.750000000000e+03	7.370377153321e+02
3.137809109688e+01	2.250000000000e+03	7.370377122557e+02
3.139806413651e+01	2.450000000000e+03	7.370377110305e+02
3.141830420494e+01	2.750000000000e+03	7.370377104091e+02
3.143739843369e+01	2.300000000000e+03	7.370377074360e+02
3.145834589005e+01	3.450000000000e+03	7.370377038350e+02
3.147843217850e+01	3.150000000000e+03	7.370377005624e+02
3.149738049507e+01	3.050000000000e+03	7.370376983809e+02
3.151789426804e+01	3.350000000000e+03	7.370376958732e+02
3.153773307800e+01	3.750000000000e+03	7.370376931276e+02
3.155732178688e+01	1.100000000000e+03	7.370376925140e+02
3.157729196548e+01	2.750000000000e+03	7.370376913792e+02
3.159724092484e+01	3.200000000000e+03	7.370376891092e+02
3.161816024780e+01	2.650000000000e+03	7.370376857548e+02
3.163810658455e+01	2.100000000000e+03	7.370376823187e+02
3.165805292130e+01	1.850000000000e+03	7.370376795126e+02
3.167799973488e+01	3.800000000000e+03	7.370376762802e+02
3.169794607162e+01	2.700000000000e+03	7.370376729381e+02
3.171789240837e+01	2.900000000000e+03	7.370376729381e+02
3.173783898354e+01	2.700000000000e+03	7.370376698436e+02
3.175778579712e+01	3.000000000000e+03	7.370376646862e+02
3.177773213387e+01	2.250000000000e+03	7.370376639102e+02
3.179770278931e+01	2.050000000000e+03	7.370376629178e+02
3.181764864922e+01	1.850000000000e+03	7.370376604357e+02
3.183760213852e+01	2.700000000000e+03	7.370376574266e+02
3.185754323006e+01	2.150000000000e+03	7.370376543607e+02
3.187746572495e+01	1.850000000000e+03	7.370376515127e+02
3.189762592316e+01	3.100000000000e+03	7.370376507998e+02
3.191754841805e+01	2.300000000000e+03	7.370376501820e+02
3.193749499321e+01	2.700000000000e+03	7.370376470928e+02
3.195744132996e+01	2.700000000000e+03	7.370376437589e+02
3.197738814354e+01	2.400000000000e+03	7.370376411361e+02
3.199735808372e+01	2.300000000000e+03	7.370376411361e+02
3.201730465889e+01	2.150000000000e+03	7.370376377536e+02
3.203726148605e+01	4.000000000000e+03	7.370376324013e+02
3.205735492706e+01	3.250000000000e+03	7.370376324013e+02
3.207732582092e+01	2.950000000000e+03	7.370376308893e+02
3.209763717651e+01	3.750000000000e+03	7.370376280956e+02
3.211777138710e+01	3.600000000000e+03	7.370376252497e+02
3.213817358017e+01	2.200000000000e+03	7.370376224765e+02
3.215827846527e+01	3.150000000000e+03	7.370376198551e+02
3.217732381821e+01	3.150000000000e+03	7.370376168187e+02
3.219727635384e+01	2.100000000000e+03	7.370376134388e+02
3.221737456322e+01	2.850000000000e+03	7.370376104014e+02
3.223742985725e+01	5.500000000000e+02	7.370376097968e+02
3.225754189491e+01	2.850000000000e+03	7.370376092912e+02
3.227748417854e+01	3.600000000000e+03	7.370376067662e+02
3.229745864868e+01	3.550000000000e+03	7.370376038909e+02
3.231737875938e+01	3.400000000000e+03	7.370375999933e+02
3.233734750748e+01	3.200000000000e+03	7.370375976563e+02
3.235727143288e+01	3.350000000000e+03	7.370375952472e+02
3.237721776962e+01	2.300000000000e+03	7.370375921404e+02
3.239718675613e+01	2.750000000000e+03	7.370375894392e+02
3.241812944412e+01	2.950000000000e+03	7.370375868369e+02
3.243807697296e+01	3.350000000000e+03	7.370375841337e+02
3.245802688599e+01	2.000000000000e+03	7.370375823543e+02
3.247794795036e+01	3.450000000000e+03	7.370375817537e+02
3.249789452553e+01	3.050000000000e+03	7.370375793478e+02
3.251784110069e+01	3.550000000000e+03	7.370375767873e+02
3.253805184364e+01	2.600000000000e+03	7.370375738275e+02
3.255775737762e+01	1.950000000000e+03	7.370375712159e+02
3.257769179344e+01	3.350000000000e+03	7.370375691739e+02
3.259762835503e+01	3.650000000000e+03	7.370375691739e+02
3.261759781837e+01	3.400000000000e+03	7.370375665920e+02
3.263754367828e+01	3.200000000000e+03	7.370375622973e+02
3.265747237206e+01	2.900000000000e+03	7.370375595046e+02
3.267741417885e+01	3.850000000000e+03	7.370375581345e+02
3.269736123085e+01	4.250000000000e+03	7.370375553944e+02
3.271730804443e+01	2.450000000000e+03	7.370375521762e+02
3.273731184006e+01	2.800000000000e+03	7.370375502255e+02
3.275725436211e+01	3.200000000000e+03	7.370375502255e+02
3.277717757225e+01	2.550000000000e+03	7.370375480455e+02
3.279737734795e+01	3.850000000000e+03	7.370375452280e+02
3.281766438484e+01	4.100000000000e+03	7.370375422261e+02
3.283886456490e+01	3.400000000000e+03	7.370375393061e+02
3.285777640343e+01	3.000000000000e+03	7.370375367195e+02
3.287772464752e+01	7.500000000000e+02	7.370375337511e+02
3.289768934250e+01	2.800000000000e+03	7.370375328608e+02
3.291764235497e+01	4.300000000000e+03	7.370375320208e+02
3.293892765045e+01	3.100000000000e+03	7.370375290401e+02
3.295793771744e+01	2.150000000000e+03	7.370375264412e+02
3.297796940804e+01	3.050000000000e+03	7.370375237408e+02
3.299791622162e+01	3.600000000000e+03	7.370375212315e+02
3.301786279678e+01	3.600000000000e+03	7.370375180958e+02
3.303880667686e+01	2.750000000000e+03	7.370375140696e+02
3.305775594711e+01	3.900000000000e+03	7.370375118812e+02
3.307772779465e+01	4.450000000000e+03	7.370375100382e+02
3.309764957428e+01	3.650000000000e+03	7.370375100382e+02
3.311762785912e+01	3.250000000000e+03	7.370375083251e+02
3.313763189316e+01	3.150000000000e+03	7.370375055008e+02
3.315758132935e+01	2.350000000000e+03	7.370375028610e+02
3.317752146721e+01	3.500000000000e+03	7.370374999885e+02
3.319744491577e+01	3.000000000000e+03	7.370374969282e+02
3.321739196777e+01	3.050000000000e+03	7.370374936196e+02
3.323833560944e+01	5.100000000000e+03	7.370374916320e+02
3.325731825829e+01	3.400000000000e+03	7.370374916320e+02
3.327724623680e+01	3.100000000000e+03	7.370374895645e+02
3.329719686508e+01	3.650000000000e+03	7.370374868334e+02
3.331812310219e+01	3.950000000000e+03	7.370374832367e+02
3.333746623993e+01	1.700000000000e+03	7.370374804825e+02
3.335744094849e+01	4.250000000000e+03	7.370374780916e+02
3.337738752365e+01	4.250000000000e+03	7.370374780916e+02
3.339733362198e+01	3.500000000000e+03	7.370374760097e+02
3.341728043556e+01	4.700000000000e+03	7.370374731771e+02
3.343822479248e+01	2.150000000000e+03	7.370374696655e+02
3.345717358589e+01	4.000000000000e+02	7.370374667519e+02
3.347811818123e+01	1.950000000000e+03	7.370374636503e+02
3.349806427956e+01	4.700000000000e+03	7.370374604023e+02
3.351803588867e+01	6.050000000000e+03	7.370374572461e+02
3.353797698021e+01	2.850000000000e+03	7.370374541902e+02
3.355744481087e+01	5.050000000000e+03	7.370374538875e+02
3.357765150070e+01	4.200000000000e+03	7.370374528224e+02
3.359775424004e+01	3.400000000000e+03	7.370374498658e+02
3.361799049377e+01	4.000000000000e+03	7.370374468958e+02
3.363723564148e+01	5.550000000000e+03	7.370374441246e+02
3.366224670410e+01	5.250000000000e+03	7.370374406721e+02
3.367816329002e+01	5.150000000000e+03	7.370374401268e+02
3.369719910622e+01	4.600000000000e+03	7.370374394867e+02
3.371817040443e+01	3.250000000000e+03	7.370374361221e+02
3.373811292648e+01	4.050000000000e+03	7.370374330194e+02
3.375803637505e+01	4.400000000000e+03	7.370374299203e+02
3.377800774574e+01	2.950000000000e+03	7.370374266811e+02
3.379797744751e+01	3.950000000000e+03	7.370374255529e+02
3.381792449951e+01	3.750000000000e+03	7.370374250950e+02
3.383742451668e+01	2.850000000000e+03	7.370374221327e+02
3.385737395287e+01	3.000000000000e+03	7.370374194828e+02
3.387729501724e+01	2.900000000000e+03	7.370374172153e+02
3.389724206924e+01	4.350000000000e+03	7.370374147298e+02
3.391718864441e+01	3.950000000000e+03	7.370374121286e+02
3.393715810776e+01	2.700000000000e+03	7.370374093446e+02
3.395708918571e+01	4.400000000000e+03	7.370374064351e+02
3.397802615166e+01	5.800000000000e+03	7.370374026992e+02
3.399799537659e+01	4.900000000000e+03	7.370373998313e+02
3.401794195175e+01	4.900000000000e+03	7.370373972774e+02
3.403789114952e+01	5.800000000000e+03	7.370373972774e+02
3.405783510208e+01	3.350000000000e+03	7.370373950982e+02
3.407778191566e+01	4.600000000000e+03	7.370373919329e+02
3.409778761864e+01	3.200000000000e+03	7.370373891805e+02
3.411773300171e+01	3.500000000000e+03	7.370373858604e+02
3.413767719269e+01	3.750000000000e+03	7.370373824665e+02
3.415762615204e+01	5.000000000000e+03	7.370373797734e+02
3.417764711380e+01	4.400000000000e+03	7.370373785654e+02
3.419721126556e+01	3.700000000000e+03	7.370373781081e+02
3.421715784073e+01	2.650000000000e+03	7.370373750590e+02
3.423730540276e+01	5.350000000000e+03	7.370373724158e+02
3.425759506226e+01	4.700000000000e+03	7.370373699872e+02
3.427783513069e+01	4.050000000000e+03	7.370373669740e+02
3.429781723022e+01	4.550000000000e+03	7.370373638441e+02
3.431773447990e+01	5.300000000000e+03	7.370373608058e+02
3.433767604828e+01	6.200000000000e+03	7.370373598935e+02
3.435762286186e+01	4.850000000000e+03	7.370373593155e+02
3.437793374062e+01	5.700000000000e+03	7.370373563513e+02
3.439785885811e+01	3.950000000000e+03	7.370373534253e+02
3.441808676720e+01	6.150000000000e+03	7.370373504254e+02
3.443721604347e+01	6.050000000000e+03	7.370373475091e+02
3.445813179016e+01	4.050000000000e+03	7.370373450379e+02
3.447807860374e+01	5.150000000000e+03	7.370373433931e+02
3.449802517891e+01	6.200000000000e+03	7.370373433931e+02
3.451797175407e+01	4.750000000000e+03	7.370373415832e+02
3.453791832924e+01	5.250000000000e+03	7.370373385666e+02
3.455791401863e+01	5.650000000000e+03	7.370373352724e+02
3.457788729668e+01	5.250000000000e+03	7.370373322886e+02
3.459785699844e+01	5.350000000000e+03	7.370373295699e+02
3.461780905724e+01	5.700000000000e+03	7.370373265934e+02
3.463775038719e+01	5.900000000000e+03	7.370373244908e+02
3.465769696236e+01	4.250000000000e+03	7.370373244908e+02
3.467764782906e+01	5.650000000000e+03	7.370373222656e+02
3.469761800766e+01	4.550000000000e+03	7.370373194274e+02
3.471754074097e+01	5.050000000000e+03	7.370373164220e+02
3.473750972748e+01	3.850000000000e+03	7.370373132053e+02
3.475745677948e+01	3.100000000000e+03	7.370373101174e+02
3.477740788460e+01	6.500000000000e+03	7.370373078759e+02
3.479735684395e+01	5.800000000000e+03	7.370373053582e+02
3.481729674339e+01	5.750000000000e+03	7.370373026937e+02
3.483724308014e+01	5.150000000000e+03	7.370373021601e+02
