#Saved Data from the class wavemeter_logger_logic on 09.11.2022 at 10h13m06s.
#
#Parameters:
#===========
#
#Start Time (s): 09.11.2022 10h:10min:09s
#Stop Time (s): 09.11.2022 10h:13min:06s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
3.107226228714e+01	7.500000000000e+02	7.369889494433e+02
3.109211397171e+01	6.000000000000e+02	7.369889591679e+02
3.111242604256e+01	1.000000000000e+03	7.369889685717e+02
3.113285684586e+01	8.500000000000e+02	7.369889779141e+02
3.115221858025e+01	8.000000000000e+02	7.369889880043e+02
3.117155027390e+01	1.500000000000e+03	7.369889991698e+02
3.119172787666e+01	9.500000000000e+02	7.369890105571e+02
3.121153378487e+01	1.200000000000e+03	7.369890189123e+02
3.123224377632e+01	1.350000000000e+03	7.369890283419e+02
3.125213575363e+01	1.000000000000e+03	7.369890381004e+02
3.127142763138e+01	1.350000000000e+03	7.369890497421e+02
3.129217505455e+01	1.200000000000e+03	7.369890603109e+02
3.131140232086e+01	1.250000000000e+03	7.369890690973e+02
3.133214616776e+01	1.450000000000e+03	7.369890787203e+02
3.135226058960e+01	8.500000000000e+02	7.369890880723e+02
3.137227177620e+01	2.200000000000e+03	7.369890973972e+02
3.139180564880e+01	1.600000000000e+03	7.369891075970e+02
3.141176986694e+01	2.000000000000e+03	7.369891177698e+02
3.143221902847e+01	1.150000000000e+03	7.369891270107e+02
3.145236372948e+01	1.300000000000e+03	7.369891374444e+02
3.147217869759e+01	1.600000000000e+03	7.369891479720e+02
3.149227094650e+01	1.000000000000e+03	7.369891579116e+02
3.151186800003e+01	1.100000000000e+03	7.369891676591e+02
3.153196406364e+01	1.450000000000e+03	7.369891776862e+02
3.155218958855e+01	1.200000000000e+03	7.369891878295e+02
3.157214593887e+01	1.250000000000e+03	7.369891973184e+02
3.159166240692e+01	1.850000000000e+03	7.369892062484e+02
3.161260366440e+01	1.600000000000e+03	7.369892149303e+02
3.163254761696e+01	2.050000000000e+03	7.369892237607e+02
3.165151333809e+01	1.850000000000e+03	7.369892328148e+02
3.167216205597e+01	1.750000000000e+03	7.369892429725e+02
3.169218683243e+01	1.000000000000e+03	7.369892526672e+02
3.171277165413e+01	2.000000000000e+03	7.369892620807e+02
3.173271608353e+01	1.150000000000e+03	7.369892704170e+02
3.175227332115e+01	1.700000000000e+03	7.369892782617e+02
3.177271580696e+01	1.300000000000e+03	7.369892914413e+02
3.179191923141e+01	1.650000000000e+03	7.369893009595e+02
3.181167387962e+01	1.500000000000e+03	7.369893084830e+02
3.183215570450e+01	1.650000000000e+03	7.369893172205e+02
3.185260295868e+01	1.200000000000e+03	7.369893264615e+02
3.187228679657e+01	1.100000000000e+03	7.369893392277e+02
3.189228963852e+01	2.150000000000e+03	7.369893475496e+02
3.191301393509e+01	2.000000000000e+03	7.369893552415e+02
3.193204164505e+01	1.800000000000e+03	7.369893621713e+02
3.195139789581e+01	1.500000000000e+03	7.369893692133e+02
3.197234201431e+01	1.250000000000e+03	7.369893734939e+02
3.199228835106e+01	2.150000000000e+03	7.369893826139e+02
3.201166844368e+01	1.550000000000e+03	7.369893918306e+02
3.203240370750e+01	1.500000000000e+03	7.369894024992e+02
3.205286169052e+01	1.650000000000e+03	7.369894189194e+02
3.207174277306e+01	1.650000000000e+03	7.369894318102e+02
3.209229660034e+01	2.100000000000e+03	7.369894318102e+02
3.211177468300e+01	1.500000000000e+03	7.369894417329e+02
3.213269090652e+01	1.600000000000e+03	7.369894529785e+02
3.215210437775e+01	1.200000000000e+03	7.369894619079e+02
3.217302918434e+01	1.750000000000e+03	7.369894712415e+02
3.219215369225e+01	1.950000000000e+03	7.369894797972e+02
3.221302700043e+01	1.650000000000e+03	7.369894891825e+02
3.223197364807e+01	1.850000000000e+03	7.369894989460e+02
3.225225543976e+01	1.400000000000e+03	7.369895094636e+02
3.227293395996e+01	2.500000000000e+03	7.369895186562e+02
3.229201626778e+01	1.700000000000e+03	7.369895279844e+02
3.231158685684e+01	1.450000000000e+03	7.369895380187e+02
3.233372855186e+01	2.100000000000e+03	7.369895490024e+02
3.235214138031e+01	1.300000000000e+03	7.369895582818e+02
3.237227606773e+01	2.200000000000e+03	7.369895682856e+02
3.239227676392e+01	1.400000000000e+03	7.369895765837e+02
3.241264748573e+01	2.200000000000e+03	7.369895851628e+02
3.243370819092e+01	1.950000000000e+03	7.369895943505e+02
3.245165467262e+01	1.700000000000e+03	7.369896044435e+02
3.247227549553e+01	2.150000000000e+03	7.369896174301e+02
3.249306130409e+01	1.550000000000e+03	7.369896264992e+02
3.251272606850e+01	2.150000000000e+03	7.369896347393e+02
